VOUCHER NUMBER,AMOUNT,CHECK DATE,DEPARTMENT NAME,VENDOR NAME,YEAR,MONTH
PV27933078267,98626.94,2019-06-17,DEPARTMENT OF FINANCE,A SAFE HAVEN FOUNDATION,2019,6
PVRF036530380,7960.66,2018-02-13,CHICAGO DEPARTMENT OF TRANSPORTATION,"LANDRUM & BROWN, INC",2018,2
PV27194426765,1195.8,2019-11-24,CHICAGO DEPARTMENT OF TRANSPORTATION,CHILDREN'S PLACE ASSOCIATION,2019,11
PV39946877393,532.75,2018-04-25,DEPT OF AVIATION,"ALIGN NETWORKS, INC.",2018,4
CVIP680102450,6187.66,2018-08-26,DEPT OF FAMILY AND SUPPORT SERVICES,DELL MARKETING LP.,2018,8
PV27703789131,2654.84,2018-05-29,DEPARTMENT OF HEALTH,KOAL ENTERPRISES INC,2018,5
PVCI276970789,12365.73,2018-04-25,DEPT OF GENERAL SERVICES,CORNERSTONE COMMUNITY OUTREACH,2018,4
PVRF300385889,5901.93,2018-10-11,DEPARTMENT OF CULTURAL AFFAIRS,CORNERSTONE COMMUNITY OUTREACH,2018,10
PV99469993261,323702.83,2018-11-18,DEPT OF GENERAL SERVICES,"CDW GOVERNMENT, LLC.",2018,11
CVIP068715240,48.55,2018-05-27,CHICAGO DEPARTMENT OF TRANSPORTATION,FEDEX,2018,5
PV27210198022,35640.16,2019-02-09,DEPARTMENT OF LAW,"RICONDO & ASSOCIATES, INC.",2019,2
PV39967808871,14821.6,2018-03-30,OFFICE OF EMERGENCY COMMUNICATION,MARY CRANE LEAGUE,2018,3
CVIP960855896,155282.52,2018-04-21,DEPT OF BUSINESS & INFORMATION SERVICES,KENNY CONSTRUCTION COMPANY,2018,4
PVCI206625171,56712.63,2019-04-28,DEPT OF FAMILY AND SUPPORT SERVICES,G & V CONSTRUCTION CO INC,2019,4
PVRF191149462,1710.43,2019-07-25,DEPT OF BUSINESS & INFORMATION SERVICES,"TERRACON CONSULTANTS, INC.",2019,7
PVCI724354918,2657.34,2018-03-10,DEPT OF COMMUNITY DEVELOPMENT,"INGRAM LIBRARY SERVICES, INC",2018,3
PV39673280130,12581.68,2018-04-10,DEPARTMENT OF FINANCE,ENTERPRISE LEASING CO OF CHICAGO,2018,4
PVRF344996534,1714.45,2018-07-13,DEPT OF GENERAL SERVICES,"MOBILE FACILITIES OF ILL, INC.",2018,7
PV27139701291,2769629.93,2018-09-19,DEPT OF AVIATION,"F.H. PASCHEN, S.N. NIELSEN & ASSOCIATES, LLC",2018,9
PV39962910649,16741.97,2019-04-20,DEPT OF FAMILY AND SUPPORT SERVICES,CORNERSTONE COMMUNITY OUTREACH,2019,4
PV99896754914,6023.5,2018-03-13,DEPT OF GENERAL SERVICES,CATHOLIC BISHOP OF CHICAGO - ST. SABINA CHURCH,2018,3
PV27103930427,5228.78,2019-08-15,DEPT OF GENERAL SERVICES,AIDS FOUNDATION OF CHICAGO|CLEANED-UP,2019,8
CVIP783019374,36262.43,2018-03-12,DEPT OF BUSINESS & INFORMATION SERVICES,SAFER FOUNDATION,2018,3
PV39967438432,23607.38,2018-07-29,DEPT OF FLEET MGMT,QUILL CORPORATION,2018,7
PV99975965760,752.88,2019-08-12,DEPT OF FAMILY AND SUPPORT SERVICES,LANGUAGE LINE SERVICES 01,2019,8
PV99682948093,2353.96,2019-06-17,DEPT OF FAMILY AND SUPPORT SERVICES,"INTER-CITY SUPPLY CO., INC.",2019,6
PV39435742443,2324.26,2018-04-03,DEPT OF FAMILY AND SUPPORT SERVICES,HOWARD BROWN HEALTH CENTER,2018,4
PV39898484100,28129.58,2019-03-23,DEPT OF GENERAL SERVICES,AECOM TECHNICAL SERVICES,2019,3
PV27347126949,5235.25,2018-08-21,DEPT OF FLEET MGMT,POSTAGE BY PHONE - PRIORITY PAYMENT - IMMEDIATE RELEASE,2018,8
PVRF362847415,199.8,2018-03-08,DEPT OF GENERAL SERVICES,MIDLAND ORTHOPEDIC ASSOCIATES 01,2018,3
PVCI082873278,859.86,2018-12-13,DEPT OF COMMUNITY DEVELOPMENT,POSTAGE BY PHONE,2018,12
PVCI255097694,709.0,2018-12-24,DEPT OF GENERAL SERVICES,"SAFELITE FULFILLMENT, INC.",2018,12
PV39434906555,511553.36,2018-08-04,DEPT OF FAMILY AND SUPPORT SERVICES,BOARD OF TRUSTEES OF THE UNIVERSITY OF ILLINOIS,2018,8
PVRF680826698,3766.91,2019-02-26,DEPT OF COMMUNITY DEVELOPMENT,"SGA YOUTH & FAMILY SERVICES, NFP",2019,2
PV39029451339,164411.19,2019-11-28,DEPT OF COMMUNITY DEVELOPMENT,CARE PLUS LLC,2019,11
PVRF029494414,16166.27,2018-08-21,CHICAGO DEPARTMENT OF TRANSPORTATION,MICHAEL REESE RESEARCH & EDUCATION FOUNDATION,2018,8
PVCI417668871,357.26,2019-01-28,DEPT OF AVIATION,BUILDERS CHICAGO CORPORATION,2019,1
PV39018012468,441596.6,2019-11-27,DEPT OF FLEET MGMT,"MCDONAGH DEMOLITION, INC.",2019,11
PV39509744095,112.65,2018-04-04,DEPT OF AVIATION,"OFFICE DEPOT, INC.",2018,4
PVCI585907387,10249.73,2018-12-24,CHICAGO DEPARTMENT OF TRANSPORTATION,"OAKK CONSTRUCTION COMPANY, INC",2018,12
CVIP661760903,3152.94,2019-09-20,DEPT OF BUSINESS & INFORMATION SERVICES,"INGRAM LIBRARY SERVICES, INC",2019,9
PV27585367801,58131.86,2018-08-27,DEPT OF GENERAL SERVICES,JOHNSON PIPE & SUPPLY COMPANY INC,2018,8
PV27798483229,4850.53,2019-03-01,CHICAGO DEPARTMENT OF TRANSPORTATION,"INGRAM LIBRARY SERVICES, INC",2019,3
PV99342615360,1887.17,2019-10-05,DEPT OF FAMILY AND SUPPORT SERVICES,MERCYWORKS OCCUPATIONAL MEDICINE,2019,10
PV27945771135,37262.5,2018-02-14,DEPT OF GENERAL SERVICES,"DELTA DEMOLITION, INC",2018,2
PV39697164385,7641.78,2018-08-23,DEPT OF GENERAL SERVICES,ENTERPRISE LEASING CO OF CHICAGO,2018,8
CVIP704198101,22141.54,2018-04-10,DEPT OF FAMILY AND SUPPORT SERVICES,CHRISTIAN COMMUNITY HEALTH CENTER,2018,4
PVRF566584300,2001.28,2018-10-31,DEPARTMENT OF WATER MANAGEMENT,HEKTOEN INSTITUTE FOR MEDICAL RESEARCH LLC.,2018,10
PVRF769382007,12718.15,2018-08-08,DEPT OF COMMUNITY DEVELOPMENT,"GRAYBAR ELECTRIC COMPANY, INC",2018,8
PVRF198407693,5255.06,2019-11-25,OHARE MODERNIZATION PROJECT,JOHNSON PIPE & SUPPLY COMPANY INC,2019,11
