VOUCHER NUMBER,AMOUNT,CHECK DATE,DEPARTMENT NAME,CONTRACT NUMBER,VENDOR NAME,CASHED
PV27933078267,98626.94,06/17/2019,DEPARTMENT OF FINANCE,15451,A SAFE HAVEN FOUNDATION,True
PVRF036530380,7960.66,02/13/2018,CHICAGO DEPARTMENT OF TRANSPORTATION,33461,"LANDRUM & BROWN, INC",True
PV27194426765,1195.8,11/24/2019,CHICAGO DEPARTMENT OF TRANSPORTATION,32230,CHILDREN'S PLACE ASSOCIATION,True
PV39946877393,532.75,04/25/2018,DEPT OF AVIATION,30871,"ALIGN NETWORKS, INC.",True
CVIP680102450,6187.66,08/26/2018,DEPT OF FAMILY AND SUPPORT SERVICES,1416,DELL MARKETING LP.,True
PV27703789131,2654.84,05/29/2018,DEPARTMENT OF HEALTH,46305,KOAL ENTERPRISES INC,True
PVCI276970789,12365.73,04/25/2018,DEPT OF GENERAL SERVICES,30303,CORNERSTONE COMMUNITY OUTREACH,True
PVRF300385889,5901.93,10/11/2018,DEPARTMENT OF CULTURAL AFFAIRS,75071,CORNERSTONE COMMUNITY OUTREACH,True
PV99469993261,323702.83,11/18/2018,DEPT OF GENERAL SERVICES,47754,"CDW GOVERNMENT, LLC.",True
CVIP068715240,48.55,05/27/2018,CHICAGO DEPARTMENT OF TRANSPORTATION,28820,FEDEX,True
PV27210198022,35640.16,02/09/2019,DEPARTMENT OF LAW,34450,"RICONDO & ASSOCIATES, INC.",True
PV39967808871,14821.6,03/30/2018,OFFICE OF EMERGENCY COMMUNICATION,24026,MARY CRANE LEAGUE,False
CVIP960855896,155282.52,04/21/2018,DEPT OF BUSINESS & INFORMATION SERVICES,30300,KENNY CONSTRUCTION COMPANY,True
PVCI206625171,56712.63,04/28/2019,DEPT OF FAMILY AND SUPPORT SERVICES,49308,G & V CONSTRUCTION CO INC,True
PVRF191149462,1710.43,07/25/2019,DEPT OF BUSINESS & INFORMATION SERVICES,29937,"TERRACON CONSULTANTS, INC.",True
PVCI724354918,2657.34,03/10/2018,DEPT OF COMMUNITY DEVELOPMENT,65749,"INGRAM LIBRARY SERVICES, INC",True
PV39673280130,12581.68,04/10/2018,DEPARTMENT OF FINANCE,28466,ENTERPRISE LEASING CO OF CHICAGO,True
PVRF344996534,1714.45,07/13/2018,DEPT OF GENERAL SERVICES,24026,"MOBILE FACILITIES OF ILL, INC.",True
